0 2 2 2 2 1 2 2 0 0 2 0 1 2 0 1 0 0 2 0 0 2 2 1 1 1 0 2 0 1 0 2 1 1 1 2 1 1 0 0 1 0 0 2 0 1 1 0 0 0 1 1 1 1 2 1 2 0 2 0 1 1 2 1 2 1 2 2 2 2 0 2 2 1 0 0 2 2 1 0 1 1 2 1 0 1 0 0 2 2 1 0 1 1 1 2 2 2 0 0 2 0 1 0 2 2 2 2 2 1 2 0 0 2 2 0 1 2 0 0 0 0 2 2 0 0 0 2 1 2 1 2 0 0 0 1 0 0 0 1 0 1 2 2 2 2 1 1 1 1 0 1 1 1 2 1 0 1 0 2 49
2 1 0 0 0 1 1 0 2 2 0 2 1 0 2 1 2 2 1 2 2 2 2 2 2 1 2 0 2 1 2 0 1 1 1 1 2 2 2 2 1 2 2 1 2 1 2 2 2 2 2 2 2 1 0 1 0 2 0 2 1 2 0 1 0 1 1 2 0 0 2 0 0 1 2 2 1 1 1 2 1 1 1 2 2 1 2 2 0 1 1 2 1 2 1 1 0 0 2 2 1 2 2 2 0 0 1 0 1 1 2 2 2 0 2 2 1 1 2 2 2 2 1 0 2 2 2 0 1 0 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 2 1 2 2 2 1 2 2 2 0 37
2 0 1 1 1 0 0 1 2 2 1 2 0 1 2 0 2 2 0 2 2 2 2 0 1 0 2 1 2 0 2 1 0 0 0 0 0 0 2 2 0 2 2 0 2 0 2 2 2 2 0 2 2 0 1 0 1 2 1 2 0 0 1 0 1 0 0 1 1 1 2 1 1 0 2 2 0 0 0 2 0 0 0 0 2 0 2 2 1 0 0 2 0 2 0 0 1 1 2 2 0 2 2 2 1 1 0 1 0 0 1 2 2 1 1 2 0 0 2 2 2 2 0 1 2 2 2 1 0 1 0 1 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 2 0 2 1 5
1 0 2 2 2 0 0 2 1 1 2 1 0 2 1 0 1 1 0 1 1 1 1 1 1 0 1 2 1 0 1 2 0 2 0 0 1 0 1 1 0 1 1 2 1 2 1 1 1 1 0 1 1 0 2 0 2 1 2 1 0 0 2 0 2 2 0 1 2 2 1 2 2 0 1 1 0 0 0 1 0 0 0 0 1 0 1 1 2 0 0 1 0 1 0 0 2 2 1 1 2 1 1 1 1 2 0 2 0 0 1 1 1 2 1 1 0 0 1 1 1 1 0 2 1 1 1 2 0 2 0 1 1 1 1 1 1 1 1 1 1 2 0 0 0 0 0 0 2 2 1 0 1 0 1 0 1 0 1 2 21
2 1 0 0 1 1 1 0 2 2 1 2 1 0 2 1 2 2 1 2 2 0 0 1 2 1 2 1 2 1 2 0 1 1 1 1 2 2 2 2 1 2 2 1 2 1 2 2 2 2 1 2 2 1 0 1 0 2 1 2 1 1 0 1 0 1 1 2 0 0 2 0 0 1 2 2 1 1 1 2 1 1 1 2 2 1 2 2 0 1 1 2 1 2 1 1 0 1 2 2 0 2 2 2 0 0 1 0 1 1 2 2 2 0 0 0 1 1 2 2 2 0 1 0 2 2 2 0 1 1 2 2 2 2 2 2 2 2 0 2 0 1 1 1 1 1 1 1 1 1 2 1 2 1 2 1 2 2 2 0 30
0 2 1 1 1 2 2 1 0 0 1 0 2 1 0 2 0 0 2 0 0 0 0 1 2 2 0 1 0 2 0 1 2 2 2 2 2 2 0 0 2 0 0 2 0 2 2 0 0 0 2 0 2 2 1 2 1 0 1 0 2 2 1 2 1 2 2 1 1 1 0 1 1 2 0 0 2 2 2 0 2 2 2 2 0 2 0 0 1 2 2 0 2 0 2 2 1 1 0 0 1 0 0 0 2 1 2 1 2 2 2 0 0 1 1 0 2 2 0 0 0 0 2 1 0 0 0 1 2 1 2 2 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 0 1 12
0 2 1 1 1 2 2 1 0 0 1 0 2 1 0 2 0 0 2 0 0 0 0 1 2 2 2 1 0 2 0 1 2 2 2 2 2 2 0 2 2 0 0 2 0 2 2 2 0 0 2 2 2 2 1 2 1 0 1 0 2 2 1 2 1 2 2 2 1 1 2 1 1 2 0 0 2 2 2 2 2 2 2 2 0 2 2 0 1 2 2 2 2 2 2 2 1 1 0 0 1 0 2 0 1 1 2 1 2 2 2 0 0 1 1 0 2 2 0 0 0 0 2 1 2 0 0 1 2 1 2 2 0 0 0 2 0 0 0 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 57
1 0 2 2 2 0 0 2 1 1 2 1 0 1 1 0 1 2 0 1 1 2 2 0 1 0 1 2 1 0 1 2 0 0 0 0 1 0 1 1 0 1 1 0 1 0 0 1 1 2 2 1 1 0 2 0 2 1 2 1 0 2 2 0 2 0 0 2 2 2 1 2 2 0 1 1 0 0 0 1 0 0 0 0 1 0 1 2 2 0 0 1 0 1 0 0 2 2 1 1 2 1 1 1 2 2 0 2 0 0 1 1 1 2 2 2 0 0 1 1 1 2 0 2 1 1 1 2 0 2 0 1 1 1 1 1 1 2 2 1 2 0 0 0 0 0 0 0 0 0 1 0 1 2 1 0 1 0 1 2 29
0 2 1 1 1 2 2 1 0 0 1 2 2 1 0 2 0 0 2 0 0 0 0 1 2 2 0 1 0 2 0 1 2 2 2 2 2 2 0 0 2 0 0 2 0 2 2 0 0 0 2 0 2 2 1 2 1 0 1 0 2 2 1 2 1 2 2 1 1 1 1 1 1 2 0 0 2 2 2 0 2 2 2 2 0 2 0 0 1 2 2 0 2 0 2 2 1 1 0 0 2 0 0 0 1 1 2 1 2 2 2 0 0 1 1 0 2 2 0 0 0 0 2 1 0 0 0 1 2 2 2 2 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 1 2 0 1 12
2 0 2 2 2 0 0 2 2 1 2 1 0 2 1 0 1 1 0 2 1 2 2 1 2 0 2 2 1 0 1 2 0 0 0 0 2 0 2 1 0 1 1 0 2 0 2 2 1 2 0 1 2 0 2 0 2 1 2 1 0 0 2 0 2 0 0 2 2 2 2 2 2 0 2 1 0 0 0 2 0 0 0 0 2 0 2 2 2 0 0 2 0 2 0 0 2 2 2 1 2 1 2 1 2 2 0 2 0 0 2 1 1 2 2 1 0 0 1 1 2 1 0 2 2 1 2 2 0 2 0 2 1 1 1 2 2 2 1 2 1 0 0 0 0 0 0 0 0 0 2 0 1 0 1 0 2 0 2 2 54
