0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 2 0 0 2 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 1 1 1 1 1 1 0 2 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 2 1 2 2 2 2 2 2 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 21
2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 1 1 1 2 1 2 1 1 2 2 2 1 2 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 1 2 2 2 2 2 2 2 2 2 1 1 2 1 1 1 1 2 1 1 1 2 1 1 0 0 0 2 0 0 0 0 0 0 0 1 1 2 0 2 2 2 2 2 2 2 2 1 2 2 2 2 1 2 2 1 2 1 1 1 1 2 1 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 1 2 2 2 2 1 1 1 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 47
1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 2 0 2 0 0 0 2 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 1 1 1 1 2 1 1 1 1 0 0 0 0 0 0 0 0 2 2 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 16
1 1 1 1 1 1 1 1 1 1 1 1 2 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 1 2 1 2 2 2 2 1 2 2 2 1 1 1 2 2 1 2 1 1 1 1 1 1 1 0 2 0 0 0 0 2 0 1 2 0 0 0 0 2 2 2 2 2 2 2 2 1 1 1 2 2 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 0 0 0 0 0 0 0 2 0 0 2 0 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 0 2 0 0 0 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 40
2 2 2 2 2 2 2 2 2 2 2 2 0 2 0 0 1 0 0 0 0 0 1 0 0 0 2 0 1 1 1 1 1 1 1 1 1 1 1 2 2 2 0 0 2 1 2 2 2 2 2 2 2 0 2 0 0 2 0 2 0 1 1 0 0 0 0 1 1 1 2 2 1 1 1 1 1 1 0 2 2 1 2 1 2 2 2 2 2 2 0 2 2 2 2 0 0 0 0 0 0 0 2 0 0 2 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 0 0 0 0 0 0 2 2 0 0 1 1 1 1 2 1 2 1 1 1 1 1 1 40
2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 1 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 2 2 2 2 2 2 2 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 2 1 1 1 1 1 1 1 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 2 0 0 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 25
2 2 2 2 2 2 2 2 2 2 2 2 1 2 0 0 1 0 2 0 0 0 1 0 0 0 0 0 2 2 2 2 2 1 2 2 2 1 1 2 2 2 1 2 2 1 2 2 1 2 2 2 2 0 1 0 0 0 0 1 0 0 1 0 0 0 0 2 2 2 1 2 2 1 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 0 0 0 0 0 0 1 0 0 1 0 1 2 1 2 2 1 1 2 2 1 1 2 2 2 2 2 2 2 2 2 2 0 1 0 0 0 0 1 1 0 0 1 1 1 2 2 2 1 2 1 1 1 2 2 75
1 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 0 2 1 2 1 2 0 1 2 1 1 2 1 1 2 0 0 1 1 1 1 0 0 2 1 2 2 2 2 1 2 2 0 2 2 1 2 1 0 1 1 1 1 0 0 1 0 2 1 2 2 0 0 0 0 0 0 1 1 1 1 1 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 1 1 2 2 2 0 0 2 2 0 2 0 2 0 0 0 0 0 0 1 0 0 0 0 0 2 2 2 2 2 2 2 1 1 1 2 2 1 0 0 2 2 1 0 1 1 0 1 0 0 0 0 1 0 1 73
0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 2 0 0 1 0 0 2 0 0 0 0 2 2 2 2 2 2 2 2 1 2 2 2 2 2 1 1 1 2 2 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 2 0 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 2 1 2 2 2 2 2 2 2 2 1 1 1 1 2 1 2 1 1 1 1 1 1 23
1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 2 1 1 1 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 2 0 0 0 0 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 8
