-1.310,0.463,-1.000
-1.550,0.378,-1.000
1.090,-1.590,1.000
-0.026,-1.180,-1.000
0.290,-0.481,1.000
0.090,-1.090,-1.000
-1.850,-0.347,1.000
-0.019,-1.550,-1.000
-0.069,1.730,1.000
-0.834,1.410,-1.000
1.050,0.651,-1.000
-0.750,-0.881,-1.000
-0.528,0.953,1.000
1.080,0.088,-1.000
0.121,0.219,1.000
1.220,1.130,-1.000
-1.330,0.719,-1.000
1.410,0.607,-1.000
-0.672,-0.041,1.000
1.930,-0.842,-1.000
-1.540,-0.618,1.000
-1.260,-0.119,1.000
0.169,1.860,1.000
-0.575,-1.620,-1.000
-0.806,0.575,1.000
0.688,-0.878,1.000
0.247,1.650,1.000
-0.278,-1.320,-1.000
0.608,-1.180,1.000
-1.480,-0.297,1.000
-0.192,1.660,-1.000
-0.666,-1.340,-1.000
-0.380,-1.340,-1.000
-1.810,-0.643,1.000
-0.496,1.410,-1.000
0.054,-1.590,-1.000
-0.747,-0.720,-1.000
-0.483,1.160,-1.000
0.903,-0.339,1.000
0.247,-1.280,-1.000
-0.467,-1.510,-1.000
0.405,1.930,-1.000
1.110,0.048,-1.000
1.240,-0.687,1.000
0.784,1.390,-1.000
0.710,1.700,1.000
-1.180,0.422,1.000
2.030,1.320,1.000
0.605,1.860,1.000
-0.276,1.050,-1.000
1.640,-0.605,-1.000
0.560,0.491,-1.000
1.260,-1.570,1.000
0.533,1.760,-1.000
-0.440,0.298,1.000
-1.490,-0.221,1.000
-0.633,-1.180,-1.000
1.210,0.752,-1.000
-0.350,-1.490,-1.000
0.560,1.700,1.000
-0.292,-1.320,-1.000
-1.240,-0.720,1.000
-0.048,1.520,-1.000
-1.120,0.494,-1.000
1.340,0.878,-1.000
-2.770,0.096,-1.000
0.527,-0.251,1.000
-0.208,0.332,1.000
0.316,1.430,1.000
-0.453,-0.074,1.000
1.380,0.749,-1.000
1.010,-0.437,1.000
-1.320,0.516,1.000
1.020,0.997,-1.000
1.130,0.405,-1.000
0.908,0.127,-1.000
0.342,-0.701,-1.000
1.490,0.365,-1.000
-0.836,-0.650,1.000
-1.020,-0.296,1.000
1.420,1.800,1.000
0.909,0.118,-1.000
-2.060,-0.332,-1.000
-1.400,0.553,-1.000
1.180,-0.051,-1.000
-0.455,0.494,1.000
0.637,0.984,-1.000
0.198,-1.410,-1.000
-0.288,0.385,1.000
1.220,0.217,-1.000
1.280,1.350,1.000
0.386,1.920,-1.000
-1.050,0.720,-1.000
0.928,1.450,1.000
-0.260,-1.230,-1.000
-0.184,-0.031,1.000
0.494,1.180,-1.000
-0.202,0.712,1.000
1.460,0.037,-1.000
