0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.428,4.000,10.000,0.000
0.000,0.000,0.910,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,0.450,2.280,0.000,1.360,0.000,0.000,0.000,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.416,0.000,0.486,0.000,0.000,3.782,31.000,87.000,0.000
0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.000,0.034,0.000,0.000,3.168,15.000,339.000,1.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.170,0.000,0.000,0.000,0.000,0.441,0.000,0.441,0.662,0.000,4.066,17.000,61.000,1.000
0.000,0.000,0.180,0.000,1.680,0.180,0.370,0.560,0.000,0.000,0.370,1.500,0.180,0.000,0.000,1.120,0.000,0.180,3.180,0.000,0.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.066,0.000,0.563,0.165,0.033,3.106,34.000,292.000,1.000
0.000,0.000,0.000,0.000,0.740,0.000,0.000,0.000,0.000,1.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.490,0.000,0.740,0.000,0.000,0.000,2.980,2.230,1.490,2.230,0.740,0.740,1.490,0.740,0.000,0.740,0.740,1.490,0.740,0.000,0.000,0.740,0.000,0.000,0.740,0.000,0.740,0.000,0.000,0.000,0.000,0.557,0.111,0.000,0.000,0.000,2.607,12.000,133.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.620,0.000,0.000,0.000,0.000,0.000,1.620,1.080,1.080,1.620,0.540,0.540,0.540,0.540,0.000,0.540,0.540,0.540,0.540,0.000,0.000,0.540,0.000,0.000,0.540,0.000,0.540,0.000,0.000,0.000,0.000,0.559,0.000,0.000,0.000,0.000,3.039,13.000,155.000,0.000
0.470,0.000,1.190,0.000,0.230,0.230,0.000,0.000,0.000,0.470,0.000,1.430,0.000,0.000,0.000,0.710,1.430,0.000,5.260,0.000,2.630,0.000,0.710,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.230,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.402,0.402,0.089,5.681,49.000,392.000,1.000
0.440,0.000,0.000,0.000,0.890,0.000,0.000,0.000,0.000,0.440,0.000,1.330,0.000,0.000,0.000,0.440,0.000,0.000,4.460,0.000,1.780,0.000,0.000,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.440,0.000,0.000,0.000,0.000,0.000,0.000,1.131,0.150,0.075,2.428,28.000,153.000,1.000
0.000,0.000,0.000,0.000,0.220,0.220,0.000,0.000,0.000,0.450,0.000,0.900,0.000,0.000,0.000,0.000,0.000,0.000,0.670,0.000,0.220,0.000,0.000,0.000,0.670,0.000,0.000,0.670,0.000,0.000,0.450,0.000,0.000,0.000,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,4.223,157.000,359.000,0.000
