9.000,46.000,414.000,5.111,0.242,0.575,1.430,100.000,238.000,70.000,1.000
5.000,27.000,135.000,5.400,0.407,0.815,2.120,55.000,110.000,26.000,1.000
9.000,12.000,108.000,1.333,0.370,1.000,2.000,40.000,108.000,20.000,1.000
8.000,71.000,568.000,8.875,0.312,0.866,1.860,177.000,492.000,95.000,1.000
6.000,16.000,96.000,2.667,0.490,0.938,2.140,47.000,90.000,22.000,1.000
6.000,96.000,576.000,16.000,0.262,0.842,1.510,151.000,485.000,100.000,1.000
8.000,40.000,320.000,5.000,0.372,0.919,1.750,119.000,294.000,68.000,1.000
7.000,6.000,42.000,0.857,0.548,0.952,2.560,23.000,40.000,9.000,1.000
12.000,33.000,396.000,2.750,0.391,0.793,4.080,155.000,314.000,38.000,1.000
7.000,213.000,1491.000,30.429,0.235,0.746,1.500,351.000,1112.000,234.000,1.000
5.000,58.000,290.000,11.600,0.090,0.259,1.180,26.000,75.000,22.000,1.000
7.000,38.000,266.000,5.429,0.252,0.628,1.400,67.000,167.000,48.000,1.000
8.000,20.000,160.000,2.500,0.525,0.938,3.500,84.000,150.000,24.000,1.000
7.000,4.000,28.000,0.571,0.321,0.679,9.000,9.000,19.000,1.000,1.000
7.000,13.000,91.000,1.857,0.319,0.846,1.610,29.000,77.000,18.000,1.000
8.000,15.000,120.000,1.875,0.475,1.000,2.380,57.000,120.000,24.000,1.000
1.000,27.000,27.000,27.000,0.593,1.000,4.000,16.000,27.000,4.000,1.000
10.000,15.000,150.000,1.500,0.300,1.000,1.880,45.000,150.000,24.000,1.000
11.000,8.000,88.000,0.727,0.545,1.000,3.200,48.000,88.000,15.000,1.000
7.000,7.000,49.000,1.000,0.327,0.898,2.290,16.000,44.000,7.000,1.000
8.000,15.000,120.000,1.875,0.475,0.992,2.590,57.000,119.000,22.000,1.000
36.000,96.000,3456.000,2.667,0.096,0.207,7.700,331.000,717.000,43.000,5.000
5.000,6.000,30.000,1.200,0.233,1.000,1.400,7.000,30.000,5.000,1.000
82.000,314.000,25748.000,3.829,0.296,0.502,10.840,7618.000,12923.000,703.000,1.000
8.000,32.000,256.000,4.000,0.395,0.773,2.100,101.000,198.000,48.000,1.000
7.000,17.000,119.000,2.429,0.160,0.739,1.730,19.000,88.000,11.000,1.000
7.000,9.000,63.000,1.286,0.460,0.889,2.420,29.000,56.000,12.000,1.000
9.000,37.000,333.000,4.111,0.390,0.811,2.030,130.000,270.000,64.000,1.000
7.000,156.000,1092.000,22.286,0.473,0.991,2.370,517.000,1082.000,218.000,1.000
7.000,117.000,819.000,16.714,0.186,0.847,1.260,152.000,694.000,121.000,1.000
6.000,31.000,186.000,5.167,0.500,1.000,1.940,93.000,186.000,48.000,1.000
7.000,31.000,217.000,4.429,0.300,0.880,1.970,65.000,191.000,33.000,1.000
9.000,86.000,774.000,9.556,0.300,0.677,2.130,232.000,524.000,109.000,1.000
9.000,17.000,153.000,1.889,0.601,0.889,8.360,92.000,136.000,11.000,1.000
