0.165,1.031,1.947,-0.544,-0.228,0.000
0.504,2.242,0.645,0.684,0.845,1.000
2.026,1.041,0.429,0.522,0.615,0.000
0.367,0.768,1.073,1.582,-0.785,1.000
0.218,0.659,1.048,2.194,-0.904,1.000
0.252,1.166,3.149,-0.726,-0.404,0.000
0.520,1.970,0.550,0.248,-0.141,0.000
2.167,0.312,-0.077,0.074,-0.104,0.000
0.411,0.736,2.119,0.839,-0.451,1.000
0.446,1.034,2.480,0.914,-0.380,0.000
0.229,1.118,1.829,-0.555,0.000,0.000
0.345,1.368,2.688,-0.692,-0.304,0.000
0.621,0.433,1.557,0.719,0.719,1.000
0.431,2.627,1.902,-0.469,-0.194,1.000
0.568,2.495,1.506,-0.485,0.000,0.000
0.456,1.513,2.206,-0.545,0.000,0.000
0.193,1.160,1.667,-0.594,0.000,0.000
1.104,2.076,0.701,1.452,-0.314,0.000
0.245,2.017,1.687,0.990,0.000,0.000
0.261,0.293,0.610,1.270,0.929,1.000
0.547,1.069,1.007,2.259,-0.731,1.000
1.831,2.751,-0.372,-0.169,-0.099,0.000
0.180,0.511,1.254,1.436,-1.007,0.000
0.366,1.494,1.248,-0.413,-0.182,0.000
0.270,2.186,0.949,-0.248,0.219,0.000
0.423,1.251,1.840,-0.554,-0.524,1.000
1.328,1.955,-0.489,0.200,0.256,0.000
0.158,0.378,1.059,-0.398,0.495,1.000
0.064,0.286,0.689,0.449,-0.448,1.000
0.249,1.876,0.914,0.379,0.000,0.000
0.120,0.311,0.426,1.818,1.201,0.000
0.137,0.695,1.079,1.630,0.000,1.000
1.064,-1.012,-0.546,1.599,-0.583,0.000
0.397,0.967,2.542,-0.790,-0.333,0.000
1.231,1.800,0.877,1.553,-0.374,1.000
0.213,1.071,2.003,-0.609,-0.229,0.000
1.010,0.987,-0.240,-0.096,0.000,0.000
0.598,1.595,2.137,0.705,-0.257,1.000
0.108,0.464,1.302,1.080,-0.349,0.000
0.523,0.813,1.771,1.270,0.758,1.000
0.122,0.592,1.288,2.546,-0.849,0.000
0.211,0.785,0.600,2.162,-0.935,1.000
0.225,0.964,0.972,-0.559,0.887,1.000
0.096,0.498,0.840,0.849,0.000,1.000
0.723,0.723,2.263,-0.667,0.401,0.000
0.687,1.871,0.637,0.378,-0.286,1.000
1.182,2.344,-0.414,-0.178,-0.119,0.000
1.034,1.039,0.257,0.198,-0.090,0.000
0.552,2.956,-0.539,0.285,-0.144,0.000
1.666,1.872,-0.297,0.164,0.116,0.000
0.257,1.090,1.917,-0.443,-0.233,0.000
2.938,0.357,1.369,-0.287,-0.131,0.000
0.205,0.351,-0.866,1.614,-0.935,1.000
0.380,2.526,1.040,-0.466,0.000,0.000
0.094,0.508,1.107,2.071,-0.789,0.000
0.607,1.628,2.083,0.694,-0.247,1.000
0.960,1.090,0.513,1.114,0.729,1.000
0.812,0.762,2.242,-0.792,0.405,0.000
0.801,0.592,2.047,-0.555,0.367,1.000
0.416,1.042,2.320,-0.564,0.337,0.000
0.219,1.447,2.493,-0.868,-0.375,0.000
0.932,2.300,-0.490,-0.202,0.000,0.000
0.272,0.527,0.821,1.185,1.092,1.000
0.109,0.472,0.772,0.685,0.638,1.000
0.363,0.694,1.930,0.798,-0.367,0.000
0.271,0.641,0.805,2.283,-1.064,1.000
0.627,1.375,-0.372,-0.163,-0.075,0.000
0.644,1.088,1.850,-0.510,0.436,0.000
0.441,2.011,0.847,0.308,0.000,0.000
0.710,2.326,-0.557,-0.203,0.000,0.000
1.041,1.631,0.505,0.340,-0.262,0.000
0.230,0.398,0.533,1.720,1.699,1.000
1.370,2.042,-0.356,0.214,0.230,0.000
0.972,1.505,-0.232,-0.101,0.101,0.000
0.173,0.407,0.855,2.415,-0.792,0.000
0.256,1.733,1.359,0.770,0.000,0.000
1.203,2.741,0.944,0.313,-0.141,0.000
0.234,0.854,2.599,-0.725,0.549,0.000
0.289,0.869,1.597,2.632,-0.796,1.000
0.118,0.384,0.410,0.973,1.363,0.000
3.239,0.650,-0.139,-0.067,0.058,0.000
0.525,1.542,1.830,1.723,-0.478,1.000
0.257,1.029,2.142,1.260,0.000,1.000
2.150,0.376,0.261,-0.065,0.000,0.000
0.402,2.047,-0.326,-0.175,-0.092,0.000
0.334,1.781,0.698,0.284,-0.124,0.000
0.886,1.913,-0.327,0.195,-0.126,0.000
0.136,0.344,0.534,0.508,1.165,0.000
0.264,1.064,2.082,-0.627,-0.305,0.000
0.238,0.899,1.439,2.113,0.000,0.000
0.524,2.902,-0.590,1.191,-0.328,0.000
0.911,1.413,1.862,1.071,-0.400,1.000
0.155,1.232,0.554,1.047,1.079,1.000
0.285,1.068,2.042,1.394,-0.447,0.000
3.086,1.188,0.521,0.388,0.274,0.000
0.517,1.205,2.199,-0.573,-0.233,0.000
2.095,0.660,-0.090,0.068,-0.040,0.000
2.544,0.372,0.300,-0.081,-0.054,0.000
0.229,0.452,0.523,1.469,1.046,0.000
0.127,0.605,0.837,0.873,-0.751,1.000
3.087,-0.304,0.150,-0.072,0.057,0.000
0.363,0.774,2.429,1.578,-0.523,0.000
0.907,1.676,0.617,0.197,-0.130,0.000
2.981,0.531,-0.134,-0.093,-0.058,0.000
0.987,1.977,-0.433,1.578,-0.482,0.000
0.106,0.458,0.931,0.000,0.000,0.000
1.165,0.903,1.661,0.648,-0.264,1.000
1.446,1.401,-0.280,-0.119,0.120,0.000
2.035,1.232,-0.204,0.103,-0.063,0.000
1.639,1.796,-0.345,0.406,1.027,0.000
1.400,1.010,0.296,0.159,-0.166,0.000
0.156,1.135,1.541,-0.448,-0.214,0.000
1.846,0.267,-0.077,0.090,-0.080,0.000
0.382,2.454,0.913,-0.570,0.000,0.000
0.082,0.389,0.378,-0.617,1.555,0.000
2.130,1.266,0.434,0.484,0.764,0.000
0.230,0.724,2.633,1.233,0.640,1.000
0.157,0.432,0.837,1.902,-0.875,0.000
-0.067,-0.286,-0.585,1.797,-0.687,1.000
3.065,0.629,0.355,-0.085,-0.062,0.000
0.184,0.425,0.952,2.461,-0.845,0.000
0.204,0.739,0.812,1.878,-0.900,1.000
0.219,0.484,-0.573,-1.097,-0.629,1.000
0.493,1.066,1.947,-0.443,-0.263,0.000
1.601,2.200,1.090,0.576,-0.168,0.000
0.288,2.901,-0.434,0.250,0.164,0.000
3.139,0.704,0.245,0.915,-0.227,0.000
0.147,0.971,0.890,1.085,0.000,1.000
0.145,0.392,0.477,2.189,-0.911,0.000
0.513,0.545,1.953,0.979,-0.547,1.000
0.619,3.052,0.601,0.951,-0.329,0.000
1.101,0.717,-0.101,0.068,-0.068,0.000
0.266,0.593,0.835,-0.569,1.956,0.000
0.292,1.056,2.459,-0.652,-0.338,0.000
0.540,2.787,-0.667,-0.242,-0.157,0.000
0.245,0.484,1.991,0.879,0.608,0.000
0.175,0.548,-0.750,-1.084,1.037,1.000
0.105,0.495,1.206,2.321,0.000,0.000
0.708,2.221,-0.545,-0.188,0.000,0.000
0.350,1.239,2.361,-0.652,0.566,0.000
0.301,1.086,2.021,0.933,1.105,1.000
0.362,2.421,-0.499,-0.284,-0.193,0.000
0.343,0.927,1.783,1.192,1.546,1.000
0.233,0.385,1.589,1.504,2.106,1.000
0.321,1.628,2.141,-0.561,-0.275,0.000
1.064,2.800,-0.421,-0.204,0.239,0.000
0.128,0.442,0.520,2.045,0.000,0.000
0.273,1.623,-0.435,0.226,-0.093,0.000
0.210,0.450,0.747,0.946,0.000,1.000
3.399,0.577,-0.143,-0.079,-0.047,0.000
0.164,0.946,2.589,-0.668,0.000,0.000
1.619,1.550,-0.280,-0.100,0.000,0.000
0.128,0.621,1.433,2.052,0.000,0.000
0.936,2.239,0.778,1.064,0.411,0.000
0.214,0.508,0.631,0.927,0.000,1.000
2.173,1.297,0.398,0.137,-0.101,0.000
0.572,2.468,1.182,0.830,-0.371,1.000
0.778,1.791,-0.416,0.277,-0.263,1.000
2.675,0.309,0.452,0.984,-0.225,0.000
0.473,1.570,-0.413,0.305,-0.099,0.000
0.185,1.098,2.485,-0.698,-0.390,0.000
0.177,1.241,1.328,-0.472,-0.209,0.000
0.287,0.531,0.696,1.883,0.000,1.000
0.478,2.033,2.162,-0.682,0.000,0.000
0.266,1.268,2.178,-0.809,0.000,0.000
0.267,1.309,1.846,0.741,-0.342,0.000
1.294,1.194,-0.215,0.114,0.095,0.000
0.609,1.765,1.198,0.905,1.245,0.000
0.984,2.097,1.249,0.781,-0.230,1.000
1.176,2.254,-0.343,0.226,0.156,0.000
0.541,2.145,-0.562,-0.228,-0.141,1.000
1.752,1.470,1.261,-0.437,0.648,1.000
0.885,1.789,1.276,1.406,-0.496,1.000
0.092,0.476,0.321,0.505,0.998,0.000
2.309,1.809,-0.363,0.917,-0.260,0.000
0.139,1.504,1.462,-0.766,0.000,0.000
0.209,0.433,0.623,1.429,2.012,1.000
